,title,body,answer
0,책임감이 강한 사람은 우울증에 잘 걸린다는데 걱정입니다.,매사에 책임감이 강하고 꼼꼼하고 가스나 자물쇠를 몇 번 재확인하는 사람들은 대체로 남을 비난하기보다는 자신을 비난하고 죄책감을 잘 느낍니다.,1
1,책임감이 강한 사람은 우울증에 잘 걸린다는데 걱정입니다.,남들에게는 너그러우나 자신을 늘 나무라고 비난하는 성격이라면 우울증에 걸릴 소지가 다분히 있습니다.,1
2,책임감이 강한 사람은 우울증에 잘 걸린다는데 걱정입니다.,남에게 야단 맞아도 기분 나쁜데 자기가 자기를 늘 야단친다면 누군들 우울해지지 않겠습니까?,1
3,책임감이 강한 사람은 우울증에 잘 걸린다는데 걱정입니다.,"일반적으로 자존심이 낮고, 지나치게 양심적이고, 대인관계가 의존적이고, 지속적인 대인관계를 이루지 못하는 사람들에서 우울증이 잘 생깁니다.",1
4,노인성 우울증도 유전이 되나요?,"노년기 우울증의 경우, 유전적 요인은 큰 의미가 없는 것으로 알려지고 있습니다.",0
5,노인성 우울증도 유전이 되나요?,우울증의 초발 연령이 50세 이후와 그 이전인 환자의 직계 가족이 우울증에 이환될 위험도는 각각 8.3%와 20%로 보고된 바 있습니다.,0
6,현재 폭식증으로 너무 심한 고통을 받고 있는데 이 우울증은 따로 치료해야 할까요?,우울한 기분은 이상 식사 행동에 흔히 쫓아 오는 문제입니다.,1
7,현재 폭식증으로 너무 심한 고통을 받고 있는데 이 우울증은 따로 치료해야 할까요?,우울한 기분이 이상 식사 행동의 원인이 되기도 하고 이상 식사 행동의 결과로 나타나기도 합니다.,1
8,현재 폭식증으로 너무 심한 고통을 받고 있는데 이 우울증은 따로 치료해야 할까요?,심한 경우에는 이 문제를 이상 식사 행동 조절 전에 치료받아야 하는 경우도 있습니다.,1
9,현재 폭식증으로 너무 심한 고통을 받고 있는데 이 우울증은 따로 치료해야 할까요?,평가를 통해 약물치료가 필요하다면 약물치료를 받고 면담치료를 통해 이상 식사 행동의 수정에 앞서 우울증의 치료가 선행됩니다.,1
10,현재 폭식증으로 너무 심한 고통을 받고 있는데 이 우울증은 따로 치료해야 할까요?,식사 행동이 조절되면 우울증도 같이 없어지는 경우가 많습니다.,1
11,우울증 치료를 받고 증세가 좋아진줄알았는데 조증이라고 합니다. 왜 그럴까요?,항우울제의 사용으로 인해 조증이 유발될 수 있습니다.,0
12,우울증 치료를 받고 증세가 좋아진줄알았는데 조증이라고 합니다. 왜 그럴까요?,질병의 경과 중 우울증 다음에 조증이 나타나는 경우도 있습니다.,0
13,중풍에서 우울증이 많이 생기나요?,우울증이 많은 빈도에서 생깁니다.,0
14,중풍에서 우울증이 많이 생기나요?,중풍 환자의 1/3에서 2/3 정도가 우울증이 발생하는데 뇌의 손상이 뇌의 앞쪽(전두엽)에 가까울수록 심합니다.,0
15,중풍에서 우울증이 많이 생기나요?,좌측 뇌에 손상이 있을 경우 우울증이 더 많이 발생합니다.,0
16,중풍에서 우울증이 많이 생기나요?,우울증이 있을 경우의 증상은 힘이 없으며 의욕을 잃은 듯한 표정 및 행동을 보입니다.,0
17,중풍에서 우울증이 많이 생기나요?,우울증이 있을 경우의 증상은 잠을 자지 못하는 경우가 많으며 말없이 가만히 있는 경우가 많게 됩니다.,0
18,중풍에서 우울증이 많이 생기나요?,우울증이라면 재활치료를 하는 데 많은 장애를 초래하므로 심리치료 및 약물치료가 필요합니다.,0
